status,city,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banked,River Forest,2019,IL,9.16E+08,3971,5.022789426,551,962,2458,257253,134272,4266,3971,295,4520,446,283,79,84,50.6,5.09,6885,64,1056,5765,16.26724764,3731,2393,1073,1719,20557,14892,8786,0,29662,25587,964,28,199,1500,1384,3.24994943,0.09439687142,5.056975255,8.401321556,29662,2094,8177,2408,5567,7345,1851,2220,10970,7.059537455,27.56725777,8.118130942,42.74492617
underbanked,Rochester,2019,NY,1.32E+10,185877,20.83018682,93233,54095,38549,6270085,3591628,205623,185877,19746,124549,83033,35813,19403,23924,4686.5,316.68,305348,39116,133163,133069,56.42054312,127296,73559,24996,1060,14873,7288,6908,15,18049,13148,3460,10,243,732,456,19.17003712,0.05540473156,4.05562635,23.2810682,18049,1202,2299,1366,3140,2635,3436,3971,447586,6.659648734,12.73754779,7.568286332,26.96548285
banked,Rockville,2019,MD,1.18E+10,69734,6.665649786,12673,16138,40923,5196613,2284354,72971,69734,3237,86574,23600,12539,5576,4730,1005.1,106.01,134378,9933,30283,94162,29.9275179,49866,34617,6858,355,5049,3033,2272,0,6108,4376,17,37,140,782,756,0.2783235102,0.6057629339,12.80288147,13.68696791,6108,302,918,466,597,1234,1123,1468,190124,4.944335298,15.02946955,7.629338572,27.60314342
underbanked,San Bernardino,2019,CA,4.45E+09,66695,14.41515617,35016,19607,12072,2096032,967693,73281,66695,6586,49866,33499,11633,9113,11463,1625.2,150.85,140091,41916,72434,25741,81.62551484,91271,58465,11458,19,990,650,533,0,1127,1105,2,0,3,11,6,0.1774622893,0,0.9760425909,1.15350488,1127,39,106,48,149,231,266,288,242911,3.460514641,9.405501331,4.259094942,17.12511091
mixed,Santa Ana,2019,CA,9.08E+09,86094,7.841503649,28236,27424,30434,4539736,1659777,88866,86094,2772,99861,41244,16256,12557,11243,2010.9,249.64,228207,83320,88956,55931,75.49111114,118098,77783,17820,1047,18479,12998,8608,66,23232,22065,76,5,186,526,374,0.3271349862,0.02152203857,2.264118457,2.612775482,23232,1040,4388,1594,3154,5328,3844,3884,360084,4.476584022,18.88774105,6.861225895,30.22555096
banked,Scarsdale,2019,NY,4.58E+09,14901,5.067607568,2140,2125,10636,1844859,839333,15773,14901,872,30712,1873,935,288,492,242.8,28.57,28814,809,4413,23592,18.12313459,12024,9535,1200,271,11133,5730,4909,0,13434,8782,51,2,3083,882,634,0.3796337651,0.01488759863,6.565430996,6.95995236,13434,532,2339,764,1121,2632,2413,3633,42229,3.960101236,17.4110466,5.687062677,27.05821051
banked,South Pasadena,2019,FL,1.86E+08,3005,36.46138807,1865,648,492,74505,52985,4133,3005,1128,1847,1283,431,352,453,73,3.09,4740,320,2585,1835,61.28691983,305,173,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5115,0,0,0,0
banked,West Hollywood,2019,CA,3.06E+09,27683,22.2424878,9756,7347,10580,689816,475883,30537,27683,2854,16639,22036,10853,5144,5285,268.3,14.22,39699,881,11377,27441,30.87735207,3509,1333,543,263,3799,2059,1658,9,4596,3547,28,50,2,853,116,0.6092254134,1.087902524,18.55961706,20.256745,4596,189,669,424,873,702,607,1132,43862,4.11227154,14.55613577,9.225413403,27.89382071
banked,Westport,2019,CT,3.21E+09,9916,5.293403769,1483,1111,7322,1211286,462360,10931,9916,1015,19680,1468,787,217,322,173.8,16.31,18635,391,3150,15094,19.00187819,8711,7014,1030,187,5107,3242,2210,0,6765,5609,46,0,744,178,188,0.6799704361,0,2.631189948,3.311160384,6765,265,1762,330,655,1717,1072,964,28016,3.91722099,26.04582409,4.87804878,34.84109387
banked,White Plains,2019,NY,3.85E+09,28350,11.61812254,8588,6014,13748,1737015,791797,30499,28350,2149,33736,12788,6068,2794,3203,510.8,44,53420,6181,17452,29787,44.23998502,18477,12114,2804,2389,32508,24131,15715,15,39736,27491,1525,39,2169,2396,6116,3.837829676,0.09814777532,6.029796658,9.965774109,39736,2405,5757,3179,8668,8940,5132,5655,73919,6.052446145,14.4881216,8.000301993,28.54086974
mixed,Wildwood,2019,NJ,1.96E+08,2521,26.57084946,1442,697,382,98665,48319,7870,2521,5349,2389,1292,364,310,506,89.6,4.27,4082,555,2551,976,76.09015189,1236,802,113,1217,9878,5248,5278,0,12210,11794,130,34,37,68,147,1.064701065,0.2784602785,0.5569205569,1.9000819,12210,767,1864,1113,1872,2414,1729,2451,5427,6.281736282,15.26617527,9.115479115,30.66339066
banked,Yorba Linda,2019,CA,3.55E+09,21454,5.950110969,3807,4239,13408,1839631,767009,22107,21454,653,37455,3860,1453,1098,1159,436,41.66,44995,2071,14917,28007,37.75530615,17152,12537,2709,2006,49330,31363,20611,30,61740,52017,1287,8,2742,2781,2905,2.084548105,0.01295756398,4.504373178,6.601878847,61740,3218,11033,8340,7371,12736,9165,9877,63982,5.21218011,17.87010042,13.50826045,36.59054098
